FIPS,Population,< 18,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,Household Income,% Free Lunch
48161,19684,23.2,15.9,1.3,0.5,0.0,14.5,68,44564.0,43.0
48163,17400,24.3,3.1,0.8,2.3,0.0,77.9,16,31996.0,59.0
48165,18003,34.9,1.6,1.1,0.3,0.0,38.2,59,43703.0,46.0
48167,295747,25.3,13.4,0.8,3.2,0.1,22.9,59,58106.0,39.0
48169,6562,20.1,6.2,0.6,0.2,0.1,47.4,45,39004.0,55.0
48171,25114,19.9,0.4,1.1,0.4,0.1,20.6,78,51981.0,41.0
48173,1251,27.3,1.5,0.3,0.1,0.2,31.9,66,59309.0,30.0
48175,7243,22.5,4.5,1.0,0.3,0.1,35.1,59,43737.0,46.0
48177,19904,27.4,6.6,1.7,0.5,0.1,48.4,44,36408.0,67.0
48179,22755,25.0,5.0,1.3,0.5,0.0,24.9,68,41488.0,51.0
48181,121419,23.8,5.8,1.7,1.0,0.1,11.8,78,44080.0,45.0
48183,123081,25.5,19.6,1.0,1.2,0.1,17.2,60,43356.0,50.0
48185,26887,22.3,16.1,0.8,0.4,0.1,22.2,60,41981.0,57.0
48187,135757,27.2,6.4,1.0,1.6,0.2,36.0,54,57576.0,36.0
48189,36498,29.0,5.0,1.5,0.5,0.1,56.9,37,36142.0,62.0
48191,3377,25.9,6.8,1.1,0.3,0.1,34.1,58,30376.0,62.0
48193,8472,21.2,0.9,1.6,0.6,0.0,10.9,87,37936.0,34.0
48195,5577,29.9,0.7,1.6,0.4,0.0,44.0,54,50505.0,49.0
48197,4176,24.4,5.4,0.7,0.4,0.0,21.8,71,34294.0,61.0
48199,55246,25.7,6.1,0.5,0.6,0.0,4.9,87,52514.0,35.0
48201,4180894,27.9,18.3,1.1,6.4,0.1,41.4,33,50924.0,47.0
48203,66296,26.0,21.8,1.2,0.6,0.1,11.9,64,44427.0,50.0
48205,5971,22.0,7.0,0.6,0.5,0.1,24.0,67,60548.0,46.0
48207,5989,20.9,3.7,0.8,0.6,0.0,24.2,70,32493.0,53.0
48209,164050,24.3,3.5,1.2,1.4,0.2,35.8,58,56557.0,40.0
48211,3970,29.1,0.5,1.0,0.9,0.1,29.2,68,58502.0,32.0
48213,78826,22.6,6.4,0.8,0.5,0.1,11.5,80,38191.0,55.0
48215,797810,34.4,0.4,0.5,1.0,0.0,90.7,8,31021.0,10.0
48217,35392,24.2,6.6,0.7,0.5,0.1,18.9,73,39184.0,58.0
48219,22892,26.9,3.6,1.3,0.4,0.0,44.8,50,42710.0,52.0
48221,51670,20.9,0.7,0.9,0.7,0.1,10.8,86,48622.0,38.0
48223,35371,25.3,7.1,0.9,0.5,0.1,15.9,75,40441.0,50.0
48225,23484,20.4,25.9,0.6,0.5,0.0,10.5,62,31892.0,60.0
48227,35122,22.4,6.1,1.5,1.0,0.1,38.5,53,41125.0,49.0
48229,3423,28.8,1.1,1.3,0.8,0.0,78.6,19,28624.0,75.0
48231,86531,24.8,8.3,1.2,1.1,0.2,14.5,74,47394.0,50.0
48233,22132,26.3,2.5,2.0,0.5,0.0,20.9,73,49038.0,40.0
48235,1620,22.4,1.3,0.5,0.2,0.0,25.5,71,54628.0,33.0
48237,9035,22.0,4.1,0.9,0.4,0.1,15.0,79,45069.0,44.0
48239,14032,25.4,7.0,0.6,0.4,0.0,29.8,62,43740.0,45.0
48241,36296,25.0,17.0,0.7,0.6,0.0,6.3,74,38260.0,52.0
48243,2288,18.7,0.5,0.7,0.3,0.0,34.2,63,48161.0,42.0
48245,252802,24.0,33.3,1.0,3.6,0.1,17.7,44,41363.0,57.0
48247,5265,28.7,0.4,0.6,0.4,0.0,92.1,7,32179.0,27.0
48249,41339,28.6,0.6,0.9,0.5,0.0,78.8,20,39120.0,63.0
48251,152734,26.9,2.8,1.0,0.8,0.4,18.9,75,54412.0,42.0
48253,20146,18.2,11.6,1.2,0.7,0.0,25.5,61,35709.0,55.0
48255,14946,20.0,9.3,1.0,0.3,0.0,50.6,39,35904.0,56.0
48257,105358,28.6,10.4,0.9,1.0,0.0,18.0,69,59986.0,43.0
48259,34781,23.8,0.7,0.7,0.8,0.1,21.2,76,71388.0,24.0
48261,437,26.1,0.9,2.3,0.5,0.0,77.3,19,34851.0,46.0
48263,825,23.4,0.7,1.0,0.0,0.0,15.2,82,42829.0,37.0
48265,49783,20.0,1.7,1.0,0.9,0.1,24.6,71,45621.0,21.0
48267,4632,20.1,0.5,0.9,0.6,0.1,23.9,74,35867.0,50.0
48269,255,22.7,0.0,1.6,0.0,0.0,12.9,85,51237.0,21.0
48271,3630,20.2,1.3,1.0,0.5,0.2,55.7,41,37917.0,59.0
48273,32196,24.6,3.7,0.8,2.6,0.1,70.3,23,36198.0,63.0
48275,3758,24.9,5.6,1.1,0.2,0.1,31.2,62,33395.0,59.0
48277,50074,24.1,13.4,1.7,0.7,0.0,7.0,75,38685.0,51.0
48279,14167,29.8,4.2,1.8,0.3,0.0,52.8,42,34524.0,56.0
48281,19891,24.4,3.2,1.2,1.2,0.2,18.2,74,47135.0,45.0
48283,7001,21.9,0.3,0.7,0.2,0.0,85.7,13,29938.0,79.0
48285,19347,23.0,6.6,0.5,0.4,0.1,16.9,75,44186.0,29.0
48287,16666,25.7,10.7,1.0,0.5,0.2,23.0,64,44411.0,55.0
48289,16916,22.5,7.5,0.6,0.7,0.0,13.9,77,43545.0,47.0
48291,76206,25.5,10.9,1.0,0.6,0.1,19.1,68,45712.0,55.0
48293,23634,23.9,17.3,1.0,0.5,0.0,19.9,61,36887.0,61.0
48295,3327,27.6,0.6,2.0,0.3,0.2,31.6,65,52256.0,49.0
48297,11447,19.8,4.2,1.1,0.6,0.0,36.2,58,41601.0,46.0
48299,19181,15.6,0.9,0.9,0.5,0.0,8.7,88,42282.0,50.0
48301,94,12.8,2.1,4.3,0.0,0.0,19.1,74,46204.0,
48303,283910,24.2,7.1,1.1,2.2,0.1,32.6,57,42978.0,48.0
