FIPS,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,# not proficient in English,% not proficient in English,Female,Rural,% diabetic,95% CI - Low,95% CI - High,HIV Cases,HIV Rate,Total deaths,Age-adjusted Mortality,95% CI - Low,95% CI - high,Total deaths,Mortality rate,95% CI - Low,95% CI - High,Total deaths,Mortality rate,95% CI - Low,95% CI - High,# MPH,MPH Rate,MPH Ratio,Costs,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Sample Size,% Couldn’t Access,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free Lunch,Homicide Rate,95% CI - Low,95% CI - High,# Drive Alone,Workers,% Drive Alone,% park access,,
37153,46611,24.4,14.5,30.4,3.0,1.1,0.1,6.2,58,922,2.1,50.7,45.5,12,9,15,121,320,816,531.0,494.0,568.1,28,60.9,40.5,88.1,22,695.8,436.0,1053.4,null,null,,10304,7735,28,25,30,998,8,6,11,341,19,32932,29859,36005,5297,17292,31,63,10,7,15,13270,15876,84,14,:null,
37155,135517,26.9,11.6,24.4,38.6,0.9,0.1,8.4,27,3764,3.1,51.3,62.6,14,12,15,374,363,2067,522.2,499.5,545.0,174,121.0,103.0,138.9,159,1508.4,1273.9,1742.9,6,0,22412:1,10848,28040,34,32,37,3541,9,7,12,2648,25,30931,28421,33441,14166,44528,32,74,23,20,26,37768,47176,80,2,:null,
37157,93329,21.8,16.7,18.8,0.5,0.5,0.1,5.7,73,1650,1.9,51.8,61.9,12,9,14,124,160,1458,444.3,420.9,467.7,55,65.3,49.2,85.0,52,1022.4,763.6,1340.8,3,0,31208:1,8074,13584,24,21,26,1630,8,6,10,552,18,36746,34240,39252,10822,37836,29,49,7,5,9,31699,38559,82,2,:null,
37159,138019,23.4,14.7,16.0,0.5,1.1,0.1,7.9,74,3321,2.6,50.7,38.8,12,11,14,285,244,1886,422.3,403.0,441.6,77,58.2,45.9,72.7,60,676.2,516.0,870.4,30,0,4611:1,9074,21308,26,24,28,3123,9,7,12,2961,21,40267,37938,42596,15053,53009,28,51,7,5,8,48550,57748,84,5,:null,
37161,67538,22.0,17.8,10.1,0.3,0.4,0.0,3.7,84,405,0.6,51.7,61.0,12,10,14,48,90,1083,438.4,411.4,465.3,32,52.1,35.6,73.5,24,615.5,394.4,915.9,9,0,7529:1,8889,9762,24,22,27,1202,8,6,10,895,22,35208,31614,38802,7782,27229,29,49,6,4,8,21458,25459,84,null,:null,
37163,63734,25.3,14.6,26.7,3.0,0.5,0.2,16.9,53,3549,6.0,50.9,85.0,12,9,14,126,244,957,470.0,439.8,500.1,63,96.7,74.3,123.7,50,1098.9,815.6,1448.8,1,0,63568:1,10140,11255,30,27,32,1682,10,8,12,395,18,36471,32997,39945,7125,23463,30,61,11,9,15,21209,26676,80,null,:null,
37165,35861,24.8,14.1,38.5,11.0,0.8,0.0,2.4,46,152,0.5,51.6,48.4,15,12,17,117,392,620,526.3,484.0,568.6,37,99.7,70.2,137.5,23,904.4,573.3,1357.1,null,null,,9489,4981,24,21,27,664,7,5,9,600,20,32999,30340,35658,4685,13075,36,67,18,13,24,9815,11605,85,12,:null,
37167,60626,22.4,16.0,11.1,0.4,1.8,0.3,3.8,82,873,1.5,50.2,67.7,11,8,14,68,137,812,394.0,366.3,421.6,37,66.7,47.0,92.0,27,785.6,517.7,1143.0,3,0,20194:1,9480,8296,23,21,25,1223,9,6,11,471,19,38301,35279,41323,6147,22629,27,43,5,3,7,21243,25540,83,6,:null,
37169,47242,21.6,16.6,4.3,0.4,0.3,0.0,2.7,91,338,0.8,51.2,75.7,10,7,13,28,71,697,411.8,380.4,443.2,29,67.5,45.2,97.0,22,913.6,572.6,1383.2,3,0,15788:1,10470,6055,21,18,23,807,7,5,9,298,16,42147,37688,46606,4800,18968,25,38,4,2,7,17291,20246,85,1,:null,
37171,73714,23.0,17.0,3.8,0.5,0.6,0.1,10.0,85,2430,3.5,51.1,68.8,13,10,16,52,86,1096,428.3,402.4,454.3,50,72.2,53.6,95.2,46,1039.8,761.3,1386.9,2,0,36858:1,10336,11948,27,25,29,1638,9,7,12,467,17,35269,31863,38675,8146,30072,27,46,5,4,8,26081,31482,83,5,:null,
37173,14043,23.3,17.2,1.3,27.0,0.5,0.0,4.2,65,164,1.3,51.4,100.0,14,12,17,11,103,276,581.3,510.2,652.5,null,null,null,null,null,null,null,null,3,0,4664:1,8298,2354,28,25,31,345,10,7,13,772,18,36167,31758,40576,1192,5455,22,44,16,9,26,4636,5294,88,15,:null,
37175,32820,17.5,26.4,4.1,0.4,0.5,0.0,2.9,91,466,1.5,51.8,59.6,10,8,12,23,88,405,308.3,274.7,341.9,17,72.4,42.2,115.9,10,635.3,304.7,1168.4,7,0,4725:1,7587,4550,25,22,28,567,9,7,12,530,16,41578,37756,45400,3675,13914,26,44,null,null,null,10316,13039,79,1,:null,
37177,4364,18.1,16.4,36.7,0.7,2.1,0.0,6.6,53,81,1.9,45.2,100.0,12,9,15,7,191,74,472.2,368.8,595.6,null,null,null,null,null,null,null,null,null,null,,8780,727,32,28,36,101,12,9,15,null,8,33430,29648,37212,545,1612,34,62,null,null,null,1068,1541,69,null,:null,
37179,205463,29.9,10.1,11.7,0.6,1.8,0.1,10.7,74,5786,3.2,50.7,27.3,8,7,10,167,108,1669,302.4,287.8,317.0,97,41.0,33.2,50.0,86,653.9,523.0,807.6,16,0,12637:1,9481,27453,23,21,25,5087,8,6,10,2615,14,61515,58231,64799,20758,66720,31,27,5,4,6,73925,89781,82,6,:null,
37181,45307,25.1,14.6,49.3,0.7,0.5,0.0,7.0,42,408,1.0,53.1,54.1,14,11,17,160,459,733,506.0,468.7,543.3,43,91.6,66.3,123.4,38,1178.3,833.8,1617.3,5,0,9075:1,7730,6789,25,22,27,910,8,5,10,391,18,33377,30007,36747,6588,16477,40,70,15,11,20,13724,16673,82,14,:null,
37183,929780,25.8,8.8,20.4,0.9,5.6,0.1,10.0,62,26083,3.2,51.3,6.1,7,6,8,2536,352,5874,257.9,251.2,264.7,498,55.0,50.2,59.8,437,697.1,631.8,762.5,464,0,1954:1,8732,108073,19,18,20,19082,8,6,9,4487,14,62436,60275,64597,104745,334302,31,28,4,3,4,354951,442791,80,23,:null,
37185,20861,20.1,19.5,51.9,5.4,0.3,0.0,3.4,38,152,0.8,49.4,100.0,15,12,19,36,216,324,408.9,361.8,455.9,13,73.8,39.3,126.3,13,1095.2,583.1,1872.8,null,null,,7655,3151,27,24,29,401,9,7,11,208,14,33218,29321,37115,2683,7999,34,69,10,6,17,5691,6865,83,1,:null,
37187,12973,22.5,18.9,49.0,0.5,0.3,0.0,3.8,46,95,0.8,53.0,67.8,15,11,19,47,444,202,402.6,345.0,460.1,10,79.2,38.0,145.6,10,1051.5,504.2,1933.8,null,null,,8124,1818,23,21,26,238,8,5,10,116,12,33278,29343,37213,1668,5028,33,72,null,null,null,3472,4527,77,2,:null,
37189,51333,13.8,12.7,1.9,0.3,1.0,0.0,3.5,92,447,0.9,49.9,55.4,9,7,11,25,60,373,261.4,233.8,289.1,17,60.4,35.2,96.7,15,783.7,438.6,1292.6,33,0,1546:1,8557,7390,23,20,26,627,9,6,11,730,18,39168,35130,43206,9160,20655,44,27,null,null,null,18416,24332,76,4,:null,
37191,123697,24.7,13.3,31.2,0.7,1.3,0.1,10.1,55,4149,3.7,51.1,46.4,12,10,13,379,412,1709,447.9,426.5,469.4,97,80.0,64.9,97.6,77,879.8,694.3,1099.6,32,0,3839:1,9235,19184,26,24,28,2334,7,6,9,2130,17,39089,35648,42530,14372,47027,31,52,11,9,13,43980,53044,83,10,:null,
37193,68984,22.0,17.5,4.2,0.3,0.4,0.1,5.6,89,717,1.1,50.7,72.8,12,10,14,41,73,1043,424.2,397.6,450.8,38,60.5,42.8,83.0,27,684.6,451.1,996.0,3,0,23095:1,9892,11077,27,24,29,1422,9,7,11,1084,19,34954,31420,38488,8285,27928,30,52,5,3,7,22494,27096,83,3,:null,
37195,81452,24.4,14.6,38.7,0.5,0.9,0.1,9.7,49,2541,3.4,52.2,38.7,13,10,15,308,480,1167,440.8,415.1,466.5,52,65.0,48.6,85.3,54,959.0,720.4,1251.3,8,0,10171:1,9353,13403,27,25,30,1866,9,7,11,627,11,37166,34640,39692,12248,31830,38,58,11,9,14,27659,33542,82,4,:null,
37197,38279,22.9,16.5,3.3,0.6,0.3,0.1,10.0,85,990,2.8,50.7,84.7,11,8,14,21,68,527,394.5,360.1,429.0,25,69.0,44.6,101.8,22,1022.3,640.7,1547.8,null,null,,10717,5915,26,23,28,893,10,7,12,253,16,40983,36341,45625,3812,14958,25,42,4,2,7,14137,16628,85,null,:null,
37199,17701,19.9,21.1,0.9,0.6,0.2,0.2,4.5,93,234,1.4,50.8,100.0,10,8,12,11,69,248,345.6,300.2,391.1,null,null,null,null,null,null,null,null,null,null,,8006,2984,28,25,31,430,12,9,15,262,16,36440,32719,40161,1796,7194,25,48,null,null,null,5472,7206,76,1,:null,
38001,2307,18.7,24.7,0.4,0.7,0.3,0.2,1.0,96,1,0.0,51.9,100.0,11,8,14,null,null,26,319.4,200.1,483.5,null,null,null,null,null,null,null,null,1,0,2347:1,7911,223,17,14,20,54,12,8,16,147,4,43836,38723,48949,199,1097,18,18,null,null,null,838,1247,67,29,:null,
38003,11056,20.6,19.4,0.9,0.8,0.6,0.0,1.2,95,44,0.4,50.3,39.6,7,6,9,null,null,110,298.5,239.2,357.8,null,null,null,null,null,null,null,null,null,null,,7839,794,13,11,15,162,7,4,9,621,7,47839,42363,53315,836,4758,18,26,null,null,null,4291,5663,76,32,:null,
38005,6723,33.4,12.6,0.1,53.8,0.2,0.0,1.3,44,9,0.1,49.1,100.0,11,8,13,null,null,119,668.5,545.3,791.6,14,156.8,85.7,263.0,11,1848.7,922.9,3307.9,null,null,,8217,854,24,21,27,187,8,5,11,262,8,38299,34148,42450,534,2300,23,62,null,null,null,1736,2488,70,6,:null,
38007,816,17.5,15.4,0.0,1.0,1.0,0.0,0.9,97,12,1.5,46.8,100.0,8,6,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,773:0,6498,99,20,17,23,23,14,10,19,55,4,60506,53076,67936,45,364,12,5,null,null,null,241,529,46,17,:null,
38009,6443,19.6,21.1,0.5,2.3,0.3,0.0,1.4,94,8,0.1,48.1,100.0,11,8,14,null,null,83,335.3,262.4,422.3,null,null,null,null,null,null,null,null,1,0,6431:1,8457,524,14,12,16,113,9,6,12,482,8,52360,46400,58320,525,2999,18,25,null,null,null,2246,3022,74,1,:null,
38011,3134,21.9,21.0,0.2,1.2,0.2,0.0,2.8,96,0,0.0,49.5,100.0,10,8,13,null,null,38,329.9,228.5,461.0,null,null,null,null,null,null,null,null,null,null,,8207,269,15,13,17,67,10,6,13,205,3,56721,50572,62870,176,1317,13,18,null,null,null,1229,1617,76,9,:null,
38013,2033,21.6,19.6,0.3,1.1,0.8,0.0,2.2,95,5,0.3,47.4,100.0,11,8,14,null,null,32,428.9,282.7,624.1,null,null,null,null,null,null,null,null,null,null,,7229,139,12,10,14,33,8,5,11,189,3,49481,43452,55510,129,989,13,17,null,null,null,677,994,68,14,:null,
38015,83145,22.4,13.7,0.7,4.1,0.5,0.0,1.4,92,268,0.4,50.7,18.5,7,6,8,null,null,646,266.5,245.6,287.3,47,65.3,48.0,86.8,40,745.4,532.5,1015.1,35,0,2334:1,7628,5627,11,9,13,848,4,2,6,3601,7,57519,52914,62124,8087,33437,24,17,null,null,null,35989,44430,81,27,:null,
38017,152368,21.5,9.9,2.3,1.4,2.4,0.1,2.2,90,1642,1.2,49.6,10.4,6,6,7,null,null,1069,286.8,269.2,304.4,68,53.3,41.4,67.6,61,589.3,450.7,756.9,107,0,1404:1,8020,12347,12,11,14,1473,4,2,6,5143,6,52444,47900,56988,19543,63901,31,22,null,null,null,70855,86162,82,83,:null,
38019,3939,19.5,25.7,0.2,1.0,0.2,0.0,0.9,97,1,0.0,49.2,100.0,10,8,13,null,null,34,240.2,156.9,352.0,null,null,null,null,null,null,null,null,null,null,,7441,270,12,10,14,68,8,5,11,286,5,50572,44940,56204,228,1713,13,25,null,null,null,1424,1847,77,46,:null,
38021,5317,23.2,22.2,0.7,0.8,0.4,0.0,2.0,95,8,0.2,50.4,100.0,10,8,12,null,null,43,219.5,157.5,297.7,null,null,null,null,null,null,null,null,null,null,,8354,402,15,12,17,100,8,5,11,313,12,47501,41965,53037,418,2156,19,23,null,null,null,1924,2601,74,1,:null,
38023,2125,16.7,25.9,0.4,0.7,0.4,0.0,1.6,96,0,0.0,48.8,100.0,9,7,12,null,null,21,275.3,160.4,440.7,null,null,null,null,null,null,null,null,null,null,,8127,147,13,10,15,37,10,7,13,154,8,51219,44910,57528,117,1023,11,29,null,null,null,703,1020,69,44,:null,
38025,3720,21.6,16.6,0.4,12.3,0.3,0.0,1.7,84,2,0.1,47.0,100.0,11,8,14,null,null,34,293.5,196.5,421.4,null,null,null,null,null,null,null,null,null,null,,7050,432,20,17,23,122,15,11,20,202,5,55353,48596,62110,178,1359,13,19,null,null,null,1093,1870,58,20,:null,
38027,2380,20.3,24.4,0.2,2.6,0.3,0.1,2.3,94,3,0.1,51.9,100.0,10,8,14,null,null,37,396.5,272.9,556.9,null,null,null,null,null,null,null,null,null,null,,8226,201,16,13,18,50,10,6,13,164,5,43249,39412,47086,180,997,18,30,null,null,null,818,1142,72,null,:null,
38029,3546,20.9,27.6,0.2,0.5,0.2,0.0,1.0,97,20,0.6,48.4,100.0,11,9,15,null,null,44,327.5,226.8,457.7,null,null,null,null,null,null,null,null,null,null,,8057,340,19,16,21,115,15,10,19,230,9,40749,36493,45005,299,1618,18,30,null,null,null,1026,1647,62,null,:null,
38031,3341,21.0,22.2,0.2,0.6,0.1,0.0,1.0,98,15,0.5,49.9,100.0,10,7,12,null,null,38,299.6,211.0,413.0,null,null,null,null,null,null,null,null,1,0,3350:1,8088,212,11,9,13,50,7,4,9,220,6,49333,43620,55046,283,1506,19,17,null,null,null,1367,1678,81,null,:null,
38033,1752,24.7,20.4,0.6,0.7,0.1,0.2,2.1,96,0,0.0,50.6,100.0,9,6,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,7396,183,20,17,23,47,13,9,17,138,7,44706,39158,50254,136,733,19,37,null,null,null,585,785,75,41,:null,
38035,66598,19.5,10.6,2.0,2.8,1.9,0.1,3.1,88,619,1.0,48.6,16.8,7,6,8,null,null,517,298.6,272.3,324.9,24,44.6,28.6,66.3,18,418.6,248.1,661.6,62,0,1079:1,8133,5661,13,11,15,581,4,2,6,2298,6,45541,41921,49161,8744,26760,33,27,null,null,null,29978,37046,81,78,:null,
38037,2337,18.1,27.8,0.0,1.2,0.1,0.0,0.4,97,2,0.1,50.2,100.0,10,7,13,null,null,30,259.5,169.5,380.3,null,null,null,null,null,null,null,null,null,null,,7855,341,26,22,30,104,24,17,31,177,10,35744,31819,39669,218,1175,19,38,null,null,null,740,1364,54,25,:null,
38039,2372,18.3,27.2,0.3,0.5,0.2,0.0,0.5,99,0,0.0,49.5,100.0,9,7,12,null,null,26,273.4,171.4,414.0,null,null,null,null,null,null,null,null,null,null,,7391,179,14,11,16,36,8,5,11,163,4,45283,39958,50608,159,1086,15,32,null,null,null,915,1231,74,null,:null,
38041,2515,19.3,24.8,0.4,2.4,0.0,0.2,0.5,95,3,0.1,52.1,100.0,10,7,13,null,null,25,210.1,135.9,310.1,null,null,null,null,null,null,null,null,null,null,,7470,204,16,14,19,58,12,9,16,162,6,46793,43817,49769,155,1073,14,24,null,null,null,747,1166,64,35,:null,
38043,2414,21.0,20.3,0.4,0.8,1.0,0.0,3.3,95,29,1.2,49.1,100.0,10,8,13,null,null,27,303.6,194.5,451.7,null,null,null,null,null,null,null,null,null,null,,8191,282,20,17,23,97,18,13,24,167,5,39857,35073,44641,221,1152,19,34,null,null,null,688,1240,55,3,:null,
38045,4105,21.1,24.5,0.2,0.4,0.1,0.0,0.9,98,10,0.3,48.9,100.0,9,7,12,null,null,48,319.2,229.1,433.1,null,null,null,null,null,null,null,null,null,null,,7036,317,14,12,16,85,10,6,13,287,5,52242,46792,57692,294,1923,15,32,null,null,null,1435,2097,68,40,:null,
38047,1985,21.1,28.1,0.2,0.5,0.3,0.0,0.9,98,8,0.4,49.3,100.0,11,8,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,6560,243,24,21,27,80,19,14,25,134,13,40760,35831,45689,197,848,23,20,null,null,null,510,936,54,47,:null,
38049,5505,21.4,20.7,0.4,0.7,0.3,0.0,1.7,96,2,0.0,48.2,100.0,10,8,13,null,null,62,340.9,256.8,443.8,null,null,null,null,null,null,null,null,null,null,,8129,513,17,14,19,163,14,10,18,366,9,44981,39791,50171,502,2515,20,28,null,null,null,1956,2597,75,null,:null,
38051,2769,18.5,34.0,0.3,0.5,0.4,0.0,1.4,97,21,0.8,51.3,100.0,11,8,14,null,null,36,324.1,215.4,468.4,null,null,null,null,null,null,null,null,null,null,,7623,253,19,16,22,79,15,11,20,212,7,36642,32199,41085,272,1301,21,26,null,null,null,808,1343,60,60,:null,
38053,7019,26.8,13.0,0.2,21.1,0.4,0.1,2.7,75,20,0.3,48.5,100.0,10,8,12,null,null,80,419.4,329.9,525.7,10,156.4,75.0,287.6,null,null,null,null,null,null,,8850,684,18,15,21,184,10,7,13,316,7,59000,51818,66182,351,2566,14,15,null,null,null,2323,2961,78,30,:null,
38055,9068,19.2,22.0,0.1,6.9,0.1,0.0,1.4,90,12,0.1,48.8,100.0,10,8,12,null,null,111,322.0,255.4,388.7,null,null,null,null,null,null,null,null,null,null,,8581,718,14,12,16,161,9,6,12,645,8,50902,45185,56619,576,3904,15,22,null,null,null,3107,4375,71,5,:null,
38057,8449,21.4,15.9,0.2,2.6,0.4,0.1,1.6,94,67,0.8,48.5,65.0,10,8,13,null,null,80,264.9,208.0,332.6,null,null,null,null,null,null,null,null,null,null,,8546,500,9,8,11,105,6,3,8,546,6,67449,60746,74152,514,3662,14,18,null,null,null,3298,4210,78,11,:null,
38059,27734,23.6,14.8,0.5,3.6,0.3,0.1,1.5,93,87,0.3,50.2,31.9,8,7,10,null,null,275,320.4,281.9,359.0,19,73.8,44.4,115.2,17,982.7,572.4,1573.3,1,0,27599:1,8071,2248,13,11,15,406,6,4,8,1320,6,58330,54764,61896,2230,10918,20,26,null,null,null,12001,14975,80,3,:null,
38061,8097,23.6,12.8,0.4,29.1,0.4,0.0,4.2,65,12,0.2,45.2,100.0,10,8,12,null,null,99,452.5,365.2,554.3,null,null,null,null,null,null,null,null,null,null,,7827,830,17,14,20,172,9,6,12,360,8,52930,46513,59347,399,2885,14,38,null,null,null,2643,3641,73,18,:null,
38063,3057,17.5,27.0,0.3,1.1,0.2,0.0,1.2,96,0,0.0,49.0,100.0,11,8,14,null,null,43,326.5,226.1,456.3,null,null,null,null,null,null,null,null,null,null,,8082,234,14,12,16,53,9,6,12,245,9,43426,38430,48422,257,1443,18,28,null,null,null,1071,1450,74,43,:null,
38065,1830,21.8,16.3,0.5,1.7,0.2,0.0,1.0,96,6,0.4,47.4,100.0,9,7,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,8221,159,14,12,16,52,13,9,17,131,1,59262,51950,66574,105,773,14,24,null,null,null,549,859,64,19,:null,
38067,7342,21.3,20.1,0.4,2.1,0.2,0.0,2.8,93,4,0.1,49.1,100.0,10,8,13,null,null,75,297.5,230.6,377.9,null,null,null,null,null,null,null,null,null,null,,8249,577,13,11,15,135,8,5,11,427,8,54584,50924,58244,497,3304,15,27,null,null,null,2751,3742,74,48,:null,
38069,4375,21.0,23.2,0.5,4.5,0.1,0.0,1.2,93,32,0.8,49.7,35.2,10,8,13,null,null,47,318.4,229.5,430.4,null,null,null,null,null,null,null,null,null,null,,7368,369,16,14,19,81,8,5,11,277,6,41419,36385,46453,448,1951,23,23,null,null,null,1494,2106,71,31,:null,
38071,11452,21.6,18.0,0.4,8.4,0.5,0.1,1.5,87,20,0.2,49.9,35.0,8,7,10,null,null,138,369.7,305.7,433.6,null,null,null,null,null,null,null,null,5,0,2293:1,8158,944,14,12,17,162,6,4,8,608,8,46624,41227,52021,773,4807,16,35,null,null,null,4656,5927,79,40,:null,
38073,5403,23.2,19.9,0.4,0.6,0.4,0.1,1.4,96,17,0.3,49.3,100.0,10,7,12,null,null,65,333.0,255.3,426.9,null,null,null,null,null,null,null,null,null,null,,9169,378,12,10,14,96,7,5,10,343,7,51812,45707,57917,507,2307,22,25,null,null,null,1791,2675,67,35,:null,
38075,2490,22.0,19.6,0.2,0.5,0.2,0.0,1.1,97,0,0.0,48.8,100.0,9,7,12,null,null,33,376.2,255.6,534.0,null,null,null,null,null,null,null,null,null,null,,6999,186,13,11,15,40,7,5,10,184,8,52982,46952,59012,109,1098,10,23,null,null,null,951,1325,72,10,:null,
38077,16245,21.7,14.8,0.8,2.3,0.5,0.1,2.0,93,67,0.4,48.3,52.0,8,6,9,null,null,164,323.7,273.0,374.3,null,null,null,null,null,null,null,null,1,0,16342:1,7309,1258,13,11,15,215,6,3,8,816,5,51860,46733,56987,1277,6483,20,26,null,null,null,6404,8416,76,23,:null,
38079,14206,33.0,10.2,0.3,75.0,0.3,0.0,1.4,21,2,0.0,50.8,100.0,14,11,17,null,null,245,663.5,578.8,748.1,28,150.5,100.0,217.5,26,1738.0,1135.3,2546.5,4,0,3499:1,9435,1787,23,20,26,453,9,6,12,962,11,33024,29037,37011,1326,4619,29,61,null,null,null,3650,4510,81,7,:null,
38081,3798,21.9,19.2,0.2,0.6,0.3,0.1,1.7,96,1,0.0,47.0,100.0,10,8,13,null,null,42,295.0,207.7,406.6,null,null,null,null,null,null,null,null,null,null,,8187,262,12,10,14,68,8,5,10,257,7,58138,52119,64157,241,1715,14,20,null,null,null,1434,2033,71,2,:null,
38083,1309,15.7,30.6,0.0,1.1,0.2,0.3,1.1,96,0,0.0,49.7,100.0,11,8,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,7563,162,23,20,26,40,19,13,24,117,9,40593,36311,44875,160,608,26,52,null,null,null,307,586,52,36,:null,
38085,4280,37.0,7.4,0.3,81.7,0.2,0.0,2.1,14,7,0.2,49.5,100.0,12,9,16,null,null,102,1010.1,811.2,1209.1,null,null,null,null,null,null,null,null,null,null,,7119,494,21,17,25,121,8,4,11,161,15,30271,26611,33931,198,1067,19,77,null,null,null,681,1201,57,15,:null,
38087,718,21.6,18.9,0.0,1.9,0.0,0.0,1.5,97,0,0.0,46.2,100.0,9,6,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,728:0,8703,95,21,18,24,30,20,14,25,66,3,52493,45952,59034,47,306,15,0,null,null,null,218,390,56,null,:null,
38089,25177,21.7,15.6,0.8,1.2,1.3,0.1,2.4,93,182,0.8,49.4,27.3,9,7,11,null,null,213,294.3,253.9,334.7,null,null,null,null,null,null,null,null,7,0,3478:1,7190,1901,13,11,15,319,6,4,8,1095,6,55492,49300,61684,2048,9793,21,22,null,null,null,10503,13074,80,19,:null,
38091,1950,20.9,21.9,0.2,1.4,0.1,0.0,1.4,96,0,0.0,48.4,100.0,9,7,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,6581,152,14,11,16,39,9,6,12,133,5,54695,49323,60067,88,836,11,19,null,null,null,708,970,73,null,:null,
38093,21062,20.3,17.2,0.8,1.5,0.6,0.1,1.7,94,59,0.3,49.1,27.6,9,7,11,null,null,240,348.0,302.9,393.1,16,92.0,52.6,149.3,null,null,null,null,17,0,1241:1,6651,1427,12,10,14,231,5,3,7,1411,7,49519,44817,54221,1952,8574,23,28,null,null,null,8458,10799,78,57,:null,
38095,2264,20.0,24.0,0.2,2.6,0.1,0.0,0.6,96,0,0.0,49.0,100.0,10,8,13,null,null,23,261.2,154.8,412.8,null,null,null,null,null,null,null,null,null,null,,6479,226,18,16,20,55,12,9,16,148,11,52376,46683,58069,139,992,14,21,null,null,null,795,1151,69,33,:null,
38097,8147,21.9,19.0,0.5,0.9,0.3,0.0,2.5,95,5,0.1,50.0,100.0,8,6,10,null,null,72,279.1,216.7,353.8,null,null,null,null,null,null,null,null,null,null,,7604,533,12,10,14,124,7,4,9,384,3,53388,49427,57349,632,3375,19,19,null,null,null,3286,4211,78,30,:null,
38099,11032,22.2,20.4,0.3,1.7,0.4,0.0,9.0,88,73,0.7,49.4,62.1,9,7,11,null,null,117,297.0,240.3,353.7,null,null,null,null,null,null,null,null,null,null,,7623,954,15,13,17,187,7,5,10,577,7,46802,44184,49420,819,4825,17,32,null,null,null,4365,5629,78,12,:null,
38101,64072,23.6,12.6,2.6,2.8,1.1,0.1,3.4,88,77,0.1,48.9,21.9,8,7,10,null,null,537,316.2,289.2,343.2,33,58.7,40.4,82.5,29,604.4,404.8,868.0,21,0,2956:1,8128,4934,13,11,15,808,5,3,7,2881,5,53157,49086,57228,5412,24453,22,21,null,null,null,27298,33580,81,24,:null,
38103,4237,18.8,27.8,0.2,0.6,0.1,0.0,0.6,98,7,0.2,50.8,100.0,10,7,12,null,null,47,278.8,195.3,385.9,null,null,null,null,null,null,null,null,null,null,,8569,312,14,12,16,64,8,5,11,749,4,47328,42050,52606,342,2032,17,23,null,null,null,1459,2035,72,null,:null,
38105,24374,23.1,13.7,0.5,3.9,0.4,0.0,2.8,90,23,0.1,47.8,32.5,8,7,10,null,null,237,339.1,295.4,382.8,15,76.1,42.6,125.5,null,null,null,null,2,0,11280:1,6454,1818,13,11,15,282,5,3,7,1088,7,67492,60679,74305,1249,9273,13,19,null,null,null,9798,12111,81,41,:null,
39001,28456,24.7,15.2,0.5,0.4,0.2,0.0,0.9,97,97,0.4,50.7,89.0,10,8,13,7,31,504,527.3,480.5,574.1,26,90.0,58.8,131.8,19,954.3,574.6,1490.2,2,0,14286:1,10803,3523,20,18,23,595,8,6,10,null,null,34778,30931,38625,3539,10905,32,49,9,5,14,7851,10175,77,3,:null,
39003,106094,23.7,15.0,11.9,0.2,0.7,0.0,2.5,82,472,0.5,49.6,25.9,11,9,14,149,173,1255,373.6,352.6,394.6,67,64.8,50.2,82.3,51,748.1,557.0,983.7,26,0,4086:1,9743,10571,17,15,19,1692,6,5,8,407,10,41453,39444,43462,11683,40703,29,44,4,3,6,39535,45939,86,22,:null,
39005,53153,23.4,16.2,0.9,0.2,0.6,0.1,1.0,96,546,1.1,51.0,61.9,11,9,14,16,35,644,362.6,334.1,391.1,26,50.4,32.9,73.8,20,583.8,356.6,901.6,6,0,8858:1,8360,6077,20,18,22,1223,9,7,12,181,8,44950,40813,49087,6041,20125,30,33,null,null,null,19639,23890,82,12,:null,
39007,101345,23.2,15.9,3.5,0.3,0.4,0.0,3.5,91,624,0.7,50.0,46.4,10,8,13,48,57,1461,422.9,400.8,444.9,76,77.8,61.3,97.4,55,816.6,615.2,1063.0,16,0,6341:1,11209,11561,19,17,21,1763,7,5,9,352,14,38683,35678,41688,12660,38771,33,47,4,2,5,34567,41568,83,21,:null,
39009,64769,15.2,10.3,2.9,0.4,2.8,0.0,1.7,90,258,0.4,50.1,43.2,10,8,13,32,58,693,438.9,405.6,472.3,19,45.4,27.4,71.0,16,579.1,331.0,940.4,63,0,1028:1,10424,8136,21,18,23,827,8,6,10,264,18,33943,30666,37220,8597,22496,38,41,null,null,null,17980,25436,71,2,:null,
