FIPS,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,# not proficient in English,% not proficient in English,Female,Rural,% diabetic,95% CI - Low,95% CI - High,HIV Cases,HIV Rate,Total deaths,Age-adjusted Mortality,95% CI - Low,95% CI - high,Total deaths,Mortality rate,95% CI - Low,95% CI - High,Total deaths,Mortality rate,95% CI - Low,95% CI - High,# MPH,MPH Rate,MPH Ratio,Costs,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Sample Size,% Couldn’t Access,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free Lunch,Homicide Rate,95% CI - Low,95% CI - High,# Drive Alone,Workers,% Drive Alone,% park access,,
1081,143468,21.8,9.2,22.7,0.4,2.7,0.1,3.4,70,2032,1.6,50.6,27.4,10,8,13,174,152,1336,381.0,360.3,401.6,74,59.9,47.0,75.2,59,668.3,508.7,862.0,54,0,2607:1,8208,17775,19,17,21,2041,6,4,8,588,15,42539,39998,45080,19897,55176,36,40,7,6,9,49559,61322,81,16,:null,
1083,85369,23.6,12.5,13.0,0.9,1.2,0.2,5.7,78,1348,1.8,49.4,57.6,10,8,13,98,150,972,374.0,350.3,397.7,41,53.4,38.3,72.4,35,666.5,464.3,927.0,2,0,41619:1,9537,10357,21,18,23,1463,7,5,9,341,13,46760,44515,49005,7249,30821,24,39,6,4,8,29189,33725,87,11,:null,
1085,11147,24.2,15.2,72.4,0.2,0.3,0.0,1.1,25,24,0.2,53.2,100.0,19,15,22,44,438,237,632.8,549.5,716.2,11,94.1,47.0,168.4,null,null,null,null,null,null,,9317,1459,21,18,24,189,7,4,9,null,null,28043,24846,31240,1595,4215,38,91,23,14,35,3025,3776,80,1,:null,
1087,21182,19.5,14.5,80.8,0.2,0.4,0.0,1.8,16,61,0.3,54.0,55.5,16,13,19,95,505,403,613.5,551.2,675.7,21,114.8,71.1,175.5,16,1424.8,814.4,2313.7,1,0,21535:1,7247,2564,21,18,23,225,5,3,7,215,14,27591,24760,30422,2899,8031,36,98,29,21,39,5959,7965,75,9,:null,
1089,340111,23.3,12.4,24.0,0.8,2.5,0.1,4.7,66,4483,1.5,51.0,16.4,12,10,14,555,204,3763,372.0,360.0,384.0,199,63.5,54.7,72.3,182,892.9,763.2,1022.7,81,0,4149:1,9382,36576,18,16,19,4455,5,4,7,1810,13,55298,51780,58816,32264,128869,25,32,5,4,6,133869,156424,86,25,:null,
1091,20692,24.0,16.7,51.4,0.2,0.3,0.2,1.7,46,34,0.2,52.8,69.3,17,14,20,19,109,365,505.2,452.1,558.4,12,55.5,28.7,96.9,null,null,null,null,null,null,,9041,2619,21,19,24,356,7,4,9,712,17,31995,28182,35808,2246,8359,27,62,7,3,12,6321,7424,85,2,:null,
1093,30663,21.5,18.5,4.2,0.4,0.2,0.1,2.2,92,326,1.1,50.3,88.9,12,10,15,26,106,572,502.9,460.1,545.8,24,89.3,57.2,132.9,20,1114.2,680.6,1720.8,null,null,,10672,3888,22,19,24,404,6,4,8,376,18,30926,27380,34472,3320,12806,26,48,6,3,10,9692,11598,84,2,:null,
1095,94166,25.0,15.0,1.9,1.2,0.6,0.2,12.5,83,4912,5.8,50.7,53.3,12,10,15,72,99,1559,509.4,483.8,535.1,79,85.7,67.8,106.8,69,1061.9,826.2,1343.9,6,0,15533:1,11101,15182,27,25,30,1907,8,6,10,500,19,38876,36112,41640,9318,34587,27,49,3,2,5,29747,37336,80,3,:null,
1097,412577,24.9,13.2,34.7,0.9,1.9,0.1,2.5,59,4739,1.2,52.0,20.0,12,11,14,1634,488,6242,490.0,477.7,502.3,327,78.5,70.0,87.0,244,839.2,733.9,944.5,91,0,4539:1,9867,60246,24,22,25,6638,6,5,8,3505,19,41867,39892,43842,51502,155638,33,63,14,13,15,143012,169895,84,28,:null,
1099,22760,24.9,16.0,41.4,1.1,0.4,0.0,1.1,55,48,0.2,52.0,79.0,14,11,17,31,170,385,502.8,451.3,554.2,12,49.5,25.6,86.5,null,null,null,null,null,null,,9652,3175,23,21,26,417,7,5,9,278,25,31072,27620,34524,2648,8943,30,61,11,7,17,6844,8096,85,1,:null,
1101,232032,24.8,12.0,54.6,0.4,2.1,0.1,3.6,38,4022,1.9,52.5,10.5,14,12,16,1334,728,2920,437.8,421.7,453.8,235,103.9,90.6,117.1,182,1116.4,954.2,1278.6,59,0,3893:1,9224,27568,20,18,22,3354,6,4,7,1696,13,42962,40285,45639,31862,88091,36,65,14,12,16,84677,100668,84,33,:null,
